Id,Label,Text
28,negative,toleransi umat beragama macam apa yg diterapkan di Serang Banten? Toleransi hanya mitos #hitamPutihT7
29,negative,suara sang veteran : kalau perlu koruptor di hukum mati! #hitamPutihT7
30,positive,lg seru nonton hitam putih.. terus lanjut nonton on the spot @indahmariana19 @hitamputiht7 @trans7
31,positive,#HPJkt48 #JKT48HitamPutihT7 trio unyu di acara master Dedy.. Thanks #HitamPutih
32,positive,perusahaan jujur pasti punya pekerja yg jujur. #hitamPutihT7
33,positive,"Keren, undang mereka dong di acara HitamPutih atau acara presiden @news_trans7"
34,positive,Suka banget sama episode Hitam Putih malam ini! #HitamPutih_Trans7
35,positive,"Kangen jeketi jadi bintang tamu Hitam Putih Trans7, seru aja gitu pas jaman gen 1 diundang ke hitam putih"
36,positive,Terima kasih telah menyaksikan Hitam Putih hari ini. Semoga menginspirasi dan terhibur
37,positive,makin ok saja hitam putih... mau donk di undang.....
38,positive,Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya
39,positive,seru nih hitam putih trans7 live
40,positive,Bersyukurlah kita hidup di Indonesia #hitamputihtrans7
41,positive,"Setuju banget sama ucapan deddy corbuzier di Hitam Putih Trans7 hr ini. Guru tak perlu diberikan tanda jasa, cukup naikan gaji"
42,positive,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans7
43,positive,Ada @Stefan0Lilipaly & @andik_vermansah di #HitamPutihT7 Keren.. !!!
44,positive,"nonton trans7 hitam putih keren abis jesika cantik, dedy ganteng @hitamputihtrans7"
45,positive,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya"
46,positive,"Yuk tweeps merapat, sebentar lagi Hitam Putih akan LIVE!"
47,positive,"Tweeps terima kasih sudah menyaksikan Hitam Putih hari ini, besok kembali Live di @TRANS7 #HPViral"
48,positive,#hitamputihtrans7 emang selalu keren.. siapapun tamunya..
49,positive,"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih"
50,positive,"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu"
51,negative,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego"
52,positive,selamat ya mas @adietaufan masuk hitamputih
53,positive,Keren lu bro #HitamPutihTrans7
54,negative,"haruka lain kali kalau diundang ke hitam putih ditolak aja, hostnya ga menghargai kamu"
55,negative,Berasa aneh nonton acara Hitam Putih tapi penonton nya anak yg sekolah di sekolah gua #smkjakarta1
56,positive,Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7
57,positive,Semoga lancar hitamputihtrans7
58,negative,"Sombongnya mentang2 kaya pake diumumkan, saya host kaya di Hitam Putih Trans7...!!!"
59,positive,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih"
60,negative,Orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi -BangQomar #HitamPutihT7
61,negative,Menakutkan Powernya Oma Martha #HitamPutihT7
62,positive,"Spensa Boys asal poso di hitam putih trans7 ASLI KALIAN KEREN!! yang pake kemeja biru putih, si gingsul ada salam dari sini"
63,negative,mulut farhat abas anjay bener di #HitamPutihT7
64,positive,cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/
65,negative,Yaampun banyak anak kecil yang nonton #hitamputihT7
66,negative,Seorang anak yg butuh pengakuan dari sang ayah #hitamPutihT7 @marioteguh
67,negative,Mario Teguh mencampakkan anak nya ? #HitamPutihT7
68,positive,"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren"
69,negative,@pandji garing banget sih ni orang #hitamputiht7
70,negative,"kalo sekarang yang nyanyi anak2,, tapi lagu Na ... Terlalu Menyakitkan Memalukan untuk disebutkan #savelaguanak #HitamputihT7"
71,positive,"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?"
72,negative,"Bos kau kalo cowo kerja salah di bentak abis, kalo cewe malah diajakin becanda trus ketawa #MyStupidBoss #HitamPutihT7"
73,negative,suara sang veteran kalau perlu koruptor di hukum mati! #hitamPutihT7
74,negative,Kok berita nya ga nyebar sih #HitamPutihT7 #Trans7
75,negative,"@HitamPutihT7 buta tuh orang, dalem ruangan pake kacamata hitam #HitamPutihT7"
76,negative,Ya dunia jadi terharu kepergian mbak jupe @hitamputih_trans7
77,negative,jadi gitu nasib atlet kita ya? @KEMENPORA_RI #HitamputihT7
78,negative,knp ya seorang sahabat bs lupa dg sahabatnya bila sudah bertemu teman lama / barunya? #HitamPutihT7
79,negative,"Baby tatan nangis ngeliat daddy, @HitamPutihT7 #hitamputiht7"
80,negative,angkat topi dan tundukkan kepala buat mbah simpen #hitamputihtrans7
81,positive,setiap hari aku slalu nonton Hitam Putih di Trans7. Hbs acara nya bagus banget mas Dedy.
82,positive,Acara Hitam Putih di Trans7 malam ini pembahasannya MANTAB! Setuju kalau bakal diperbanyak yang mengulas hal semacam ini
83,negative,Turut berduka buat anak nya buk pak #HitamPutihT7
84,negative,ingin kan hal yg baik tetapi belum tentu semua itu sesuatu yg diharapkan? #moreppie #hitamputihT7
85,negative,ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7
86,positive,"Suka banget nonton #IndonesiaLawyersClub bisa menambah wawasan, bisa belajar cara membicarakan suatu masalah, keren @ILC_tvOnenews"
87,positive,"ngakak, mantap dah pokoknya seru"
88,positive,RINDU ILC INDOBESIA LAWYERS CLUB DI TVONE
89,positive,"Indonesia Lawyers Club merupakan program talkshow paling ditunggu pemirsa tvOne, yang membahas topik2 terkini #9TAHUNTVONE"
90,positive,Selalu kagum dengan Buya Syafii Maarif - ILC tvOne https://youtu.be/gPXSkLtAL5Y
91,negative,"Indonesia Lawyers Club TvOne malam ini sepertinya batal tayang lagi. memalukan Rezim ini terlalu sakit, sehingga takut http://fb.me/18pYNAcs"
92,negative,Potensi teroris sangat besar. Jangan bikin pernyataan yg memberi peluang pd teroris #ILC
93,negative,"Indonesia banyak masalah tp gak ada sikap tegas dr pak presiden, ditanya di demo malah sibuk pencitraan & upload video gak penting! #ILC"
94,negative,"Kalau melihat acara #ILC Membidik Habieb Rizieq, Habieb ga perlu pulang ke Indonesia. Ga penting. Ga mutu."
95,negative,"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas, inilah sumber radikal, miris #ILC @karnii"
96,positive,Selamat tayang kembali Indonesia Lawyers Club tvOne
97,positive,Ini yg bikin adem Hati.. Aa Gymnastiar #ilc
98,positive,Ikhlas itu melepaskan dan mendoakan.. #ILC
99,positive,Bang @karniilyas cerdas ... #ILC hebat
100,positive,pak Ustadz. keren banget.. #ILC
101,positive,#ilc saatnya damai bersenandung
102,positive,Saatnya Damai Bersenandung #ILC dan Pemecah Belah Umat Beragama Dimusnahkan
103,positive,Semoga makin paham seperti apa sejatinya rupa Indonesia #ILC
104,positive,ILC malam ini adem #indonesialawyersclub
105,positive,"Indahnya ILC malam ini, semua pemuka agama saling rangkul dan setuju untuk meninggalkan kasus ahok yang merusak keselarasan bangsa #ILC"
106,positive,Setuju banget sama bapak ustad #ILC
107,positive,Top banget Utadz Zaitun Rasmin #ilc
108,positive,Yuk tonton TVOne selalu menyajikan berita2 obyektif #TVOneSllDihati
109,positive,"#ilc,,, polmart memang bijaksana"
110,positive,Rakyat mendukung KPK usut tuntas kasus e-KTP @karniilyas #ILCTVOne
111,positive,Acara televisi yang sangat saya suka #ilcTvOne
112,positive,ga sabar nunggu 2019!!! #ILCTvOne
113,positive,semangat dan sehat selalu pak karni penonton setia menunggu ILC tayang kembali @karniilyas #ILCtvone
114,positive,Adem dengerin nasehat dari Aa gym semoga sehat slalu dan dalam lindunganNYA #IslamJagaNKRI @GeneralGatot #ILCtvone
115,negative,"sangat banyak ilmu yang bisa kita serap di #ILCTVONE semalam, menyejukan"
116,positive,#ILCtvone bangga kepada #PANGLIMATNI #JendralGatotNurmantyo
117,positive,"Salut dengan komitmen Pak @GeneralGatot , tegas, berwibawa, inilah Jenderal sesungguhnya. #ILC411 #ILCtvone"
118,positive,Hormat jendral... #ilctvone #keren #nextpresiden2019
119,positive,Aa gym.... Menyejukan mental dan jiwa #ilctvone
120,positive,Terimakasih buya Syafii @maarifinstitute . Bangga dg kejernihaannya #ilctvone
121,positive,Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI
122,positive,"jika kita memiliki kasih,  seharusnya saling memaafkan jika ada org yg sudah mau minta maaf, itu baru keren, salut. #ilctvone"
123,positive,"#Ilctvone @jonru @hafidz_ary @AHMADDHANIPRAST sampe diketawain, krn awalnya kalem, diujung keringat dingin matanya merem asli lucu"
124,positive,Ahmad Dhani ngomong Pasti seru ini.... #ILCTVOne
125,positive,"Mendengar pendapat pak hasim muzadi sangat menentramkan, keren #ilctvone"
126,positive,Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone
127,positive,Kompak dan sama  pembelaan antara BNN n Polisi...  #ilctvone
128,positive,Keren kali abang pengacara botak ini #ILCTvOne
129,positive,Jokowi ini org betul2 soleh.. hendropriyono #ilctvone
130,positive,Top n mencerahkan prof @mohmahfudmd ..! #ilctvone
131,positive,Media dukung Ahok karena pendapatan iklan dari korporasi juga besar. #ILCtvone
132,positive,@ILC_tvOnenews keren bikin melek #ilctvone
133,positive,Salut sama pak Darmawan Salihin...  #ILCTVONE
134,positive,semga ilc tetap jadi memberikan informasi yang benar
135,positive,"acara debat yag hebat, keren #ILC"
136,negative,Yang di tunggu bukan tvshow tapi INDONESIA LAWYERS CLUB. TVshow tidak cocok dengan karakter siaran tvone!
137,positive,"Saya punya Panglima yang membanggakan, ILC tvOne https://youtu.be/tR2tN1u7eAw"
138,positive,Rating Indonesia Lawyers Club TV One Langsung Melesat #tvone #setelah411
139,positive,Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne
140,positive,"semuanya nonton tvOne, Indonesia Lawyers Club yuk"
141,positive,Belajar cara berdebat di bidang hukum #ilc
142,negative,sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC
143,negative,omongannya ga menarik. ga berisi. #ILC
144,negative,Anis difitnah katanya dia... #ILC
145,negative,Sebuah pertanyaan kepada metromini utk dijadikan metronome yang dibentuk oleh kemacetan yang cukup padat di berikan oleh putra petir. #ilc
146,negative,"buat para pembela AHOK, Cek cara berpikirnya, masa kalah sama ANAK SD. #AhokHarusDipenjara @ILC_tvOnenews #ILC"
147,negative,@MataNajwa kok kayak provokatif ya pembawa acaranya. Beda kelas dg #ILC @ILC_tvOnenews
148,negative,"Saya pribadi tdk suka dgn acara Mata Najwa dan ILC, tdk menyelesaikan masalah kayaknya. #matanajwa #ILC"
149,negative,Benarkah kebohongan yang diulang-ulang... #iLc
150,negative,Diracun dengan pujian.. #ILC
151,negative,"males nonton, Topik #ILC ga kekinian."
152,negative,Meskipun kebohongan itu lari secepat kilat satu waktu kebenaran akan mengalahkannya #ILC
153,negative,"org yg namanya tampang Nabi tp hati Iblis, sesuai dgn pernyataan pengacara Nazarudin #ILC"
154,negative,"para pejabat sedang sibuk membicarakan ""HAK ANGKET"", #ILC tv0ne http://fb.me/2RGmoq4cL"
155,positive,saya paham bahwa saya gagal paham...  #ILC
156,negative,"ngomong segitu panjang, gak dapet maksudnya mau apa... #aneh #ilc"
157,negative,"Sumpah liat mukanya #FahriHamzah di #ILC pengen gw lempar pake sepatu,, nyebelin bgt"
158,negative,Percuma pak. fahri dower itu masih sakit hati sama KPK. #ILC
159,negative,"DPR TERUSIK,, KPK DIBIDIK #ILC"
160,negative,@ReflyHZ Ajarin dewan ttg hak angket !!! #ILC
161,negative,"Saya rakyat, tp saya jg kadang ga seneng lihat cara nya yg superbodi, kok kyknya tebang pilih jg.. #ILC"
162,negative,#ILC merajut jakarta kembali setelah tercabik cabik karena kepemimpinan masa lalu
163,negative,"@karniilyas maksudnya, cinta akan uang adalah akar kejahatan #ILCTVOne"
164,negative,Makin hari makin geram ngeliat tingkah laku dan akhlaq oknum yang mengatasnama kan ISLAM #ILCTVONE
165,negative,"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone"
166,negative,"#MataNajwa meskipun beda kelas sm #ILCTVOne knp masih bebas tanpa pembatalan, Tanya kenapa?????"
167,negative,"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya, ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone"
168,negative,"Merajut kembali Jakarta? Gampang kok. ""Bacot lu jaga"" #ILCTVOne"
169,negative,buya safii maarif yg lebih tua kalah bijak dari nasihat bung eep yg jauh lebih muda #ILCtvOne
170,negative,Merampas hak dasar sebagai manusia harus batal demi hukum #ILCTvOne
171,positive,"ih lucu, mas kick andy nya senyum2 aja"
172,positive,nonton pak hasan Merkids di kick andy sangat menginspirasi salut pak hasan
173,positive,cara Ubah Mimpimu Jadi Tindakan Kick Andy
174,positive,Kickandy gokil #kickandy
175,positive,"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat"
176,positive,Temukan lentera jiwamu #kickandy #mahasiswaum
177,positive,Agung.. Saya akan undang lagi.. Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
178,positive,PARA MUSISI YG MENGGELORAKAN SEMANGAT NASIONALISME DAN KEBHINEKAAN UNJUK GIGI #KICKANDY NKRI HARGA MATI...
179,positive,Anak2 mulai berimajinasi. #kickandy
180,positive,CARA GILA MENDAKI GUNUNG #KickAndy Luar Biasa Mantap Jiwa
181,positive,sayangilah alam niscaya alam akan menyayangimu #kickAndy
182,positive,mantan narapidana pun dirangkulnya untuk dicarikan pekerjaan untuk menjalani hidup yg lbh baik lagi
183,positive,Agung @eevnxx mampu membuktikan sebuah karya yg mengagumkan bisa dihasilkan dgn belajar scr otodidak
184,positive,Salah satu kejadian yang membuat penonton tertawa saat agung hapsah muncul #KickAndy
185,positive,Agung akan diundang  Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
186,positive,Jatuh lalu bangkit Untuk membantu sesama #Kickandy
187,positive,Rasa bangga itu ada setelah saya bs menyumbang karya kecil buat NKRI Ronny #KickAndy patut acungi jempol
188,positive,"Sahabat Gimbal Alas, nanti malam jangan lupa ya nonton #KickAndy Cara Gila Mendaki Gunung ala Cak Tarpin"
189,positive,"Hanya orang takut yang bisa berani, karena keberanian http://ekhs7903.m.nomor1.com/ekhs7903/menulis-adalah-kesenangan-saya.htm … #kickandy"
190,positive,#kickandy Anda hanya dekat dengan mereka yang Anda sukai. Dan Anda menghindari orang yag tidak Anda sukai
191,positive,Anak 16Th yang berfikir dewasa mampu mampu membiyayai sekolahnya sendiri dengan cara membajak sawah #kickandy @Metro_TV @MetroTVToday
192,positive,"kangen lagi nonton #kickandy sama ayah, ayah langsung bilang, seharusnya kamu bersyukur"
193,positive,#kickandy @KickAndyShow siang ini jg jadi ajang reuni sahabat kosti DKI dan kosti Jateng
194,positive,Bapak ku lucu ya #kickandy
195,positive,"besok pagi harus UTS, jd pulang duluan cuma poto bareng gambarnya #kickandy @KickAndyShow"
196,positive,Bahagianya Masuk Tv bersama Kawan #kickandy @ Kick Andy… https://www.instagram.com/p/BTGua2KhkXQ/
197,positive,Keren dan kocak nih tamu #kickAndy mereka-mereka yg memang lomba design yg berasal dari Malang
198,positive,"lucu ni bapak, bikin ketawa terus, persis kayak di tv #kickandy http://ift.tt/2o1rW9W"
199,positive,Terima Kasih #kickandy sudah menginspirasi saya membuka mata banyak orang karena kesetiaan yang teruji itulah Cinta yang sesungguhnya
200,positive,Cinta itu agung. Tuhan itu luar biasa. #KickAndy
201,positive,riasan terbaik seorang wanita adalah semangat dan rasa percaya dirinya.. #kickandy
202,positive,Nonton #kickandy. Menginspirasi sekali
203,positive,"#kickandy kita mendukung Ahok, karena orang baik @KickAndyShow @Metro_TV"
204,positive,Mantap pak ahok #kickandy
205,positive,Manusia bersih pasti berani #KickAndy #TamuAhok
206,positive,Suka dengan nasehat Pak Analta Amir yg meminta Ahok menyaring ucapan #kickand
207,positive,"Nonton #kickandy Menarik, membuka pikiran, menginspirasi. Sukses selalu"
208,positive,inilah jagoan saya!! hahahaha #kickandy
209,positive,Salut lah sama orang2 kek gitu #kickandy
210,positive,@KickAndyShow semoga tambah ok dan panjang umur. semoga acara nanti malam lancar #kickandy
211,positive,Ajang orang-orang saling menginspirasi. #kickandy #kickandyheroes2017
212,positive,"Suara Penta Boys ini memang keren banget, pantas jadi juara 1 di Rumania #KickAndy"
213,positive,penta Boys ini masih eksis saja dan saya suka suara mereka. Keren #KickAndyp
214,positive,"Rupanya, terselip beberapa detik di Kick Andy. Keren dan luar biasa"
215,positive,Terimakasih #kickAndy
216,positive,Tayangan yang sangat inspiratif yang banyak memberi motivasi kepada kita untuk lebih bisa mencintai orang-orang disabilitas #kickandy
217,positive,"perjuagan mereka istimewa, krn mampu menembus keterbatasan sbg rasa syukur pada Allah, sangat menginspirasi. #KickAndy"
218,positive,Syukurilah atas kehidupanmu saat ini #kickandy
219,positive,"Acara yang sangat menginspirasi sekali, salut #kickandy"
220,positive,"suka dengan semua tamu yang diundang, pasti menginspirasi #kickandy"
221,negative,kalo udah di puncak jangan lupa sampahnya di bawa turun lagi karena alam bukan tempat nyampah stop nyampah di gunung #kickandy
222,negative,RT @KickAndyShow: 61 WNA terancam dideportasi dan lia @gracialia terancam dipidanakan
223,negative,Lebih baik menyalakan lilin daripada mengumpat kepada kegelapan #pejuangtangguh #kickandy
224,negative,"aku ga mau bohongi diri sendiri. Gimbal Alas, Malang. #kickandy"
225,negative,sampan tidak akan dapat belayar di padang pasir betapa pun jua emp http://ilha8253.m.nomor1.net/ilha8253/1001-burung-kertas.htm … #kickandy
226,negative,"Bila kita mencari uang, kita akan dipaksa mengupayakan jangan malas http://ln.is/m.nomor1.com/KfMAp … #kickandy"
227,negative,"Dalam hidup, terkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan #NOMOR1.net #kickandy"
228,negative,"Cobaan suami saat istri sakit, cobaan istri saat suami gak punya duit, miris #kickandy"
229,negative,"Terharu mendengar puisi ""Perempuan yang tak berhenti terjaga"" dari anak-anak Ibu Shinta Nuriyah, miris #kickandy"
230,positive,"anak itu milik berdua, bukan milik salah satu, bantulah istri mengasuh anak, seperti itu #Gusdur #kickandy"
231,negative,"ujian suami adalah saat istri sakit, dan ujian istri adalah saat suami tidak punya apa-apa #kickandy"
232,negative,#kickandy Bung Andy cuma mampir dgn gaya remaja sbg idola remaja dan tidak sempat beli
233,negative,"Kelemahan Anda hanyalah sementara, karena Anda sedang memperkuatnya, tetapi bila Anda jadi #tekcmi144 #kickandy"
234,negative,Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan memilih pikiran yang tepat. kita akan #hermafik95 #kickandy
235,negative,Itu yg saya kesel. Coba kalo sodara km ngantri ke kanker. Coba km rasain. Kok bs gitu fitnah org. #KickAndy #SuaraHatiAhok
236,negative,"Klo pulang ke rumah, mati. Ga ada yg urus. Miskin kok. Kita mw taruh dia di apartemen #KickAndy #SuaraHatiAhok"
237,negative,Kalo dia berantem tdk ada telor busuk diketeknya #kickandy #pilkadadki
238,negative,Pak @basuki_btp mukanya sedih banget pas kakak2 angkatnya ngomong. #kickAndy
239,negative,Andy terlihat kaku dan jaga sikap saat mengundang Ahok menjadi tamu. Mungkin agar terlihat lebih formal #kickandy
240,negative,Makin stress makin ngantuk #ahok #kickandy
241,negative,"Jangan melihat orang dari cover nya aja, tapi lihat lah dia dari sisi lain nya. Fisik bisa saja sm namun isinya berbeda. #KickAndy"
242,negative,kayak gajah yg dibilang psikolog di @Metro_TV #KickAndyMetroTv
243,negative,Jangan di bakarin dong pak andy @KickAndyShow #kickandymetrot
244,negative,bikin sakit perut nonton kisah sarjana tertua di indonesia.. #KickAndyMetroTv
245,negative,Pekerjaan yg tdk sesuai dengan kualifikasi pendidikannya #KickAndyMetroTV
246,negative,"Tp ttp tdk msk surga, jd ibadahnya sia2 hahaah RT @melanjhe: sp bilang orang bertato tdk boleh beribadah?!? #kickandymetrotv"
247,negative,orang bertato tdk boleh beribadah?!? #kickandymetrotv
248,negative,Apakah kamu bodoh? Tidak!.. Kamu di bodohi oleh suatu sistem Mike-marjinal @kickandymetrotv
249,negative,"Gimana soal UN g bs bocor, pertanyaan Malaikat di alam kubur aja udah bocor. #KickAndyMetroTV"
250,negative,Masa ada anak lulus dg nilai palingg tinggi dan lulus SNMPTN Undangan bidik misi pdhl dia susah sekali... @SBYudhoyono #kickandymetrotv
251,negative,"Orang Belanda aja peduli sama orang2 indonesia yg berada d daerah terisolir, gimana dg pemerintah indonesia? Zhonk kickandyMetroTV"
252,negative,Merinding deh nonton #KickAndyMetroTV
253,negative,Indonesia2. Bahkan kita dididik untuk menjadi rusak.. #kickandymetrotv
254,negative,Parahnya kualitas pendidikan di Indonesia  #kickandymetrotv
255,negative,demi apapun ya kick andy sekarang botak?  #kickandymetrotv
256,positive,"Setuju. Al misbah, mata najwa dan kick andy program favorit"
257,negative,"Kan udah bilang di mata najwa metro tv, tanya aja sendiri ke bapak anis, kok fitnah"
258,negative,Kenapa MUI tidak mengeluarkan Fatwa Haram Korupsi? Rasanya harus undang jg para petinggi MUI di mata najwa
259,negative,"Bravo Mata Najwa.. Debat Pilgub DKI kali ini garing,kalah sama MataNajwa yg mampu menggali lbh dalam #MataNajwa @Metro_TV"
260,negative,"#BatalDebatKarena Kasihan... pas debat Mata Najwa di metrotv aja Pak Basuki sudah hampir nangis, ga kebayang kemarin debat lagi"
261,negative,Setelah acara di mata najwa kasihan Pak Anies jd bulan2an di medsos untuk dihujat #AhokDjarotDiRosi
262,positive,"Selamat @NajwaShihab dan keluarga besar @Metro_TV Prestasi yg luar biasa, Dialog keren, rugi klo terlewatkan nonton mata najwa"
263,positive,@TV_MATANAJWA Semoga acara Mata Najwa Metro TV jadi acara favorit dan semakin jaya berkualitas di masa mendatang
264,positive,Pasti menang cuma mata najwa yang paling ok RT @Metro_TV: Dukung Mata Najwa menjadi Program TV terbaik http://tl.gd/nnoc2f
265,positive,"Mata Najwa MetroTV, Inspiratif"
266,positive,KENAPA HARI INI TERASA TENTRAM DAN BAHAGIA NONTON MATA NAJWA @Metro_TV
267,positive,Mata Najwa paling keren acaranya matanya setajam silet
268,positive,Mata Najwa malam ini kayaknya bakal seru banget
269,positive,Mata Najwa memang paling keren Mantap
270,positive,"Keren! Tampil di Kandang Lawan, Pak Anies Baswedan Tampak Gemilang di Mata Najwa Metro TV"
271,positive,memang cukup romantis dan memuaskan pemirsa krn adanya mata najwa semakin sukses
272,positive,Menarik sekali mengikuti diskusi Ahok - Anis di Mata Najwa http://fb.me/5KYy9nAdC
273,positive,ahok merasa pinter dan merasa hebat di debat acara mata najwa metro tv.
274,positive,Mata Najwa dan Metro Tv berpihak pada paslon 3 Untung Ahok cerdas. Semangat pak! Allah bersamamu
275,positive,"Sudah terbukti di mata Najwa, kalau Ahok lebih hebat dari Anis Insaallah Ahok Jarot menang.."
276,positive,"sip, keren. debat ala mata najwa lebih keren daripada ala kpud yg sdh diatur utk lbh jaim"
277,positive,semoga bapak jokowi melihat acara mata najwa supaya masalah masalah yg dipelosok dapat diatasi
278,positive,keren deh. Mata Najwa juga.
279,positive,metro tv keren inspiratif dgn mata najwa nya kick andy
280,positive,metro tv emang tv paling keren ya edukatif dan menginspirasi seperti mata najwa dan kick andy
281,positive,Pemimpin itu harus Cerdas santun Tegas jujur bersih saya pilih AniesSandiPemersatu #MataNajwaMetroTv
282,positive,"Liat pemimpin2 yg islami, cerdas, teladan #matanajwametrotv"
283,positive,rame banget malam ini #MataNajwaMetroTV selalu menunggu topik lain yang seru dan nambah wawasan.
284,positive,Kado indah malam ini. @najwashihab  matanajwametrotv https://instagram.com/p/3OoWqCwgYj/
285,positive,"Tjokro dan rumahnya menjadi teladan, tentang senioritas yang menghidupkan dan bukan mengkerdilkan. #MataNajwaMetroTv"
286,positive,"Semangat bp bambang woidjojayanto,, @matanajwaMetroTv,, #saveKPK"
287,positive,belajar dari gusdur matanajwametrotv
288,positive,"mata najwa, ibu susi bpk dahlan dan bpk faisal basri inspiratif #matanajwametrotv"
289,positive,metro tv keren malam ini yang lg malam mingguan rugi klo ga nonton mata najwa @matanajwametrotv
290,positive,Kemerdekaan adalah hak segala bangsa #TanyaJokowi #MataNajwaMetroTV
291,positive,Seru nih mata najwa malam ini #MATANAJWAMETROTV
292,positive,Salut buat Ahok. #matanajwametrotv #hutjekardah
293,positive,Super Salut dengan Pak Ahok #matanajwametrotv
294,positive,"Matanajwametrotv berwibawa tak byk kata_berkuasa tetap sederhana, kagum"
295,positive,Salut dan bangga sm pak BJ. Habibie utk yg kesekian kalinya #MataNajwaMetroTV
