Id,Label,Text
77,positive,"TUNDUK UNTUK MELAWAN
=======================

TETAP SATU KOMANDO YAITU TAAT DAN PATUH TERHADAP INSTRUKSI PEMERINTAH, BERSAMA KITA MENANG, INDONESIA SEHAT, COVID-19 MUSNAH DARI BUMI PERTIWI

 EET 
#PENA98
#POSPERAIndonesia
#PetarungdiUjungSenja
#MelawanLupapic.twitter.com/BiWaoSdyXi"
78,positive,"Tu dengerin
kalau masuk angin bisa aja di kerokin
tapi  kalau carona  yang ngerok juga ikut mati.jadi kepada semua masyarakat indonesia semuanya yuk kita ikutin aturan pemerintah jangan keluar rumah agar terhindar dari virus covid 19 ini
#DirumahAja #GerakanPhysicalDistancingpic.twitter.com/yCEPPmvUJP"
79,positive,"Tribute to garda terdepan Covid-19. Tim medis, pemerintah Indonesia,
mereka yang bertahan untuk tidak mudik, bertahan untuk tetap dirumah, 
bertahan untuk tetap bekerja
.
special thanks
civitas akademika SMP PIUSâ€¦ https://www.instagram.com/p/B-jISdOpcK-/?igshid=1eddkzekvkg60Â â€¦"
80,positive,"Tolong perhatikan dampak kedepanya, boleh mengkritik tapi buat kepentingan bersama. Hanya 14 hari ko dari pada kedepanya kita menyepelekan aturan pemerinyah. Lihat setelah lock down 14 hari yg sekarang sedang dijalan tidak ada hasilnya. Tetep dirumah stay safety cuma 14 hari"
81,positive,"Tolong nurut sama pemerintah. Tolong banget, kita yg bekerja di bidang retail sangat merasakan dampak dari korona ini. Banyak temen kita yg dirumahkan karna pandemic ini. Semoga tidak ada lockdown. Dan keadaaan cepat pulih kembali. Tolong patuhin aturan pemerintah. Tolong banget"
82,positive,"Tolong nurut sama pemerintah. Tolong banget, kita yg bekerja di bidang retail sangat merasakan dampak dari korona ini. Banyak temen kita yg dirumahkan karna pandemic ini. Semoga tidak ada lockdown. Dan keadaaan cepat pulih kembali. Tolong patuhin aturan pemerintah. Tolong banget"
83,positive,"Tksh pak presiden langkah anda tepat sekali dg tdk lock down,dampak ekonomi rakyat kecil dan menengah terimbas klw daerah di isolasi."
84,positive,"anda sebagai sumbet berita yang banyak dibaca mestinya nggak usah sok tau, semua orang sudah ngerti soal lock down, pemerintah berhitung tentang banyak hal, bukan sekedar covid 19 , tapi bgmn dengan dampak ekonomi, stock nasional? bentang negara, jml penduduk dll. ndak perlu riuh https://twitter.com/detikcom/status/1241926547096907776Â â€¦"
85,positive,"Tingkat kematian covid-19 di indonesia 8,9%, hampir 3x lipat dari rata2 kematian di asia tenggara (3%). Pemerintah telah dan sedang terus berusaha optimal utk mengatasinya. Yg  perlu kita lakukan adl JANGAN PANIK, TETAP WASPADA, IKUTI SEMUA IMBAUAN  PEMERINTAH, DAN TERUS BERDOA. pic.twitter.com/YgfeAZacRa"
86,positive,"Tinggal enak di Negara orang, tapi terus menyerukan agar masyarakat indonesia tidak percaya dengan pemerintah dalam menangani kasus covid-19. Jangan jadi pengkhianat!"
87,positive,"tidak usah mencemooh terhadap Pemerintah, dari awal hingga sekarang Presiden Jokowi terus berusaha mengatasi dan mencegah penyebaran covid-19 di Indonesia."
88,positive,"Tidak semudah itu untuk lockdown kakak.. Ada perhitungan dampak yang ditimbulkan (positif dan negatif) untuk menentukan kebijakan saat ini. Dampaknya mayoritas bukan ke pemerintah, tetapi kepada pekerja harian, dll.. Karena setiap kondisi negara maupun daerah itu berbeda."
89,positive,"Tidak semudah itu untuk lockdown bosque.. Ada perhitungan dampak yang ditimbulkan (positif dan negatif) untuk menentukan kebijakan saat ini. Dampaknya mayoritas bukan ke pemerintah, tetapi kepada pekerja harian, kepanikan yang bisa saja berujung anarkis, dll"
90,positive,"Thank you kepada Pemerintah.
Walau minim sosialisasi tapi prosesnya mudah & cepat.

I Love Indonesia.
I Hate Covid-19. pic.twitter.com/txgujqS078"
91,positive,"Tetap mengikuti anjuran pemerintah untuk sesalu menjaga kesehatan, gunakan masker , berjemur di atas jm 9 pagi, dan berdoa semoga covid-19 di Indonesia segera berakhir . Amin "
92,positive,"Tetap kuat pemerintah Indonesia.
Terus semangat para tim medis di sejumlah rumah sakit.
Selalu jaga kesehatan dan senantiasa berDoa saudaraku se tanah air.
Tuhan beserta kita semua, Amin 
#Covid_19 #StayAtHome"
93,positive,"Alhamdulillah Pemerintah Pusat bisa bikin  Rakyatnya aman, masih bisa cari uang dan rezeki disaat Pandemik Covid-19 ini... Jadi rakyat kecil mah ga usah khawatir atas kenaikan angka yg positif Covid-19 dan yang wafat yg penting bisa seperti biasanya"
94,positive,"Tetap jag kesehatan mbak nya,tetap semangat,dan tetap cantik,kita ikut himbauan pemerintah dan saran dokter..
Indonesia mampu lawan Covid-19 ini"
95,positive,"TETAP BERSABAR, TAAT KEPADA PEMERINTAH DAN DOAKAN KEBAIKAN UNTUK NEGERI
#sabar #taat #pemerintah
#indonesia #doakannegeri
#dirumahaja #covid_19 #corona
#cegahcorona Channel Telegram | twitter  @anNajiyahDesignpic.twitter.com/rPHT8qBEz6"
96,positive,"Tetap aman dan sehat mas Kami doakan semua team medis & smua yg bekerja di garda terdepan dlm menangani pasien covid diberikan kekuatan, kesehatan & kesabaran extra. Kami mendukung semua upaya Pemerintah  atasi pandemi ini. Bangsa Indonesia Bersatu Bisa
 Atasi Covid-19"
97,positive,Terus org2 minta presiden berlakukan lock down begitu kah...apa tdk tambah runyam dan presiden akan dihajar terus Krn dampak lock down itu ...!? Cukup yg berkompeten yg ambil kebijakan dan laksanakan org awam ikut sj dgn sop yg ada....jgn dibawa kmn2 aplg politik...
98,positive,"Ternyata kaum agamawan, profesi, politisi busuk dan pembenci NKRI pendukung LOCKDOWN, pola pikirnya masih level LOCAL, belum GLOBAL, beda dg Pak Jokowi.

Apa mereka ga liat dampak buruk dari LOCKDOWN di negara2
Italy, India dan Mexico?
 https://seword.com/p/RBZqssyWkxÂ "
99,positive,"Terlihat bgmn hebat nya strategi presiden ku...step by step, ga spt mrk yg cm teriak2 lockdown tanpa mikir dampak sosial nya spt yg saat ini terjadi di India. https://twitter.com/ChusnuIChotimah/status/1244222425232883713Â â€¦"
100,positive,"Terimakasih Pak Jokowi
sangat bijak mengantisipasi penanganan Covid-19 berjalan dng aman dan damai. Tetap dukung pemerintah dlm menghadapi Covid-19. Tetap waspada, ternyata msh banyak yg ingin membuat kekacauan di negeri ini. Tetap semangat Pak Jokowi...Indonesia aman dan damai"
101,positive,Terima kasih utk semua usaha pak Presiden dan semua staf pemerintah dlm menangani Covid-19. Semoga Allah melindungi semua bangsa Indonesia dlm keadaan sehat. Yg sakit semoga segera Allah angkat penyakitnya. Barakallahu fiik pak Presiden
102,positive,"Terima kasih Ibu Maia atas kepedulian sosialnya, semoga kita tetap bisa saling membantu satu sama lain dan percayalah Pemerintah akan tetap berupaya semaksimal mungkin agar COVID-19 ini lenyap dari Bumi Indonesia, yang lalu biar berlalu, kita songsong Indonesia yang lebih baik"
103,positive,Terima kasih @Menlu_RI ..kebijakan yg diharapkan. Adalah sulit mengurangi dampak serangan bila laju masuknya tidak dikendalikan (baca tutup/lock down )..selanjutnya per daerah bisa mengambil kebijakan yg sama. Proteksi yg belum terkena..cc @ganjarpranowo @ridwankamil @KhofifahIP
104,positive,"Teman2 mulai skarang mari kita berikan Semangat Kepada Presiden dan Pemerintah Pusat mengatasi penyebaran Covid-19 SALAM INDONESIA SEHAT

Jangan Terprovokasi oleh Issue yg di sebarkan Oleh Kelompok Kadrun yg Sakit Hati

#StoppolitisasiCorona
#Salamindonesiasehat"
105,positive,"Teman teman Social Distancing itu tidak selalu harus Lock Down.

Tapi sedikit menjaga jarak, agar virus harus berkerja ekstra jika mau membuat kita sakit.

Namun tetap membuat roda ekonomi berputar, jadi kegiatan yang punya dampak ekonomi tetap, yang tidak dibatasi sementara."
106,positive,"Tau nggak dampak apa saja dari kasus yang sekarang, COVID-19?
Indonesia nggak sendirian, yang mengalami keruntuhan perekonomian. Bahkan seluruh dunia sedang mengalami. Jadi jangan salahkan jokowi. Kamu sendiri sudah membantu pemerintah belum dengan #dirumahaja ? Semoga sudah yaa!"
107,positive,Tapi toh saat ini bukan saatnya kita blame negara atau pemerintah atau keadaan kita saat ini. Fokus ke solusi. Indonesia masyarakatnya jutaan. Kemungkinan buat covid-19 nyebar itu besar. #COVID2019 #threadcorona
108,positive,"Tapi dengan adanya berita ini,, bukan berarti masyarakat menjadi lengah. Tetap harus waspada dan ikuti anjuran pemerintah wfh, social distancing, selalu pakai masker dimanapun. Semangat Indonesia! Kita pasti bisa lawan Covid-19. 

https://www.cnnindonesia.com/nasional/20200406103858-20-490681/jokowi-ungkap-10-besar-negara-covid-19-indonesia-tak-masuk#mainÂ â€¦"
109,positive,"Syukurlah,, Secara Tak Langsung Sampean Sudah Mengakui Kemajuan Negara Ini Dibawah Kepemimpinan Presiden RI Bpk @jokowi, Terkait Lockdown Tentunya Pemerintah Sudah Mengkaji Dgn Para Ahli Dan Tokoh Bangsa Ini Demi Indonesia Yg Sehat Bebas Dari Pandemi Covid-19. 
#Muehehehe"
110,positive,"Sy percaya kpd pemerintah @jokowi bersama @BNPB_Indonesia guna cara menangani serta menanggulangi dampak virus covid 19 dan sy berharap kpd semua masyarakat indonesia, mari kita bahu membahu sama2 untuk mengatasinya. #SatukanVisiCekalCorona #Covid19Out #dirumahsaja"
